first_name,last_name,email,gender,date,subject_area,seminar_h,case_studies,label
Leeland,Christopher,lchristopher0@slideshare.net,Male,5/6/2022,mathematics,15,4,no
Gino,Reams,greams1@hc360.com,Male,4/3/2022,computer science,16,5,no
Frank,Ryder,fryder2@yandex.ru,Female,8/3/2021,business administration,17,5,no
Hobie,Ianetti,hianetti3@sina.com.cn,Male,1/10/2022,computer science,17,1,no
Dulci,Diggin,ddiggin4@umich.edu,Female,5/24/2022,mathematics,1,7,no
Delano,Straun,dstraun5@e-recht24.de,Male,6/24/2022,computer science,13,3,no
Patton,Lyte,plyte6@webnode.com,Male,1/1/2022,mathematics,3,1,no
Lorelei,Burgwyn,lburgwyn7@wikispaces.com,Female,8/18/2021,mathematics,6,3,no
Delilah,Cotton,dcotton8@godaddy.com,Female,6/30/2022,mathematics,1,6,no
Marleen,Mingardo,mmingardo9@cam.ac.uk,Female,7/20/2021,business administration,8,4,no
Chanda,Jeskins,cjeskinsa@smugmug.com,Female,11/18/2021,business administration,6,1,no
Ealasaid,Swetland,eswetlandb@cpanel.net,Female,10/23/2021,computer science,20,6,no
Brendis,Wagerfield,bwagerfieldc@biblegateway.com,Male,2/10/2022,computer science,7,4,no
Engracia,Vooght,evooghtd@zimbio.com,Female,10/22/2021,business administration,18,7,no
Gilburt,Lindeboom,glindeboome@yahoo.co.jp,Male,8/22/2021,mathematics,2,2,no
Wang,Curr,wcurrf@washington.edu,Male,1/15/2022,computer science,18,3,no
Rois,Stading,rstadingg@umn.edu,Female,2/16/2022,computer science,15,3,no
Ilka,Assandri,iassandrih@unesco.org,Female,2/6/2022,business administration,5,4,no
Trixy,Bangle,tbanglei@instagram.com,Female,9/14/2021,mathematics,3,7,no
Marcellus,Rowson,mrowsonj@paypal.com,Male,4/18/2022,business administration,18,2,no
Nerty,Bowley,nbowleyk@fda.gov,Other,5/17/2022,computer science,8,6,no
Roz,Barritt,rbarrittl@posterous.com,Female,8/5/2021,business administration,3,3,no
Bevvy,Gianasi,bgianasim@kickstarter.com,Female,3/17/2022,mathematics,6,5,no
Jeromy,Briand,jbriandn@moonfruit.com,Male,8/15/2021,computer science,3,2,no
Jordana,Britland,jbritlando@indiatimes.com,Female,12/22/2021,mathematics,18,4,no
Sande,Kearton,skeartonp@moonfruit.com,Female,8/18/2021,mathematics,7,6,no
Starlin,Shooter,sshooterq@cisco.com,Female,2/17/2022,business administration,7,7,no
Justus,Birdfield,jbirdfieldr@mysql.com,Male,2/15/2022,computer science,13,6,no
Tammara,Lutwyche,tlutwyches@yale.edu,Female,4/10/2022,business administration,4,2,no
Joseito,Breewood,jbreewoodt@wix.com,Male,6/16/2022,business administration,3,7,no
Demetria,Iuorio,diuoriou@prnewswire.com,Female,6/24/2022,mathematics,10,7,no
Carolina,Etches,cetchesv@salon.com,Other,12/18/2021,business administration,17,3,no
Yoko,Splevin,ysplevinw@360.cn,Female,4/30/2022,computer science,7,3,no
Karyl,Tome,ktomex@artisteer.com,Female,3/24/2022,business administration,7,4,no
Reynolds,Hansom,rhansomy@live.com,Male,9/4/2021,computer science,17,7,no
Germana,Donaldson,gdonaldsonz@bravesites.com,Female,11/5/2021,mathematics,14,6,no
Amy,Radin,aradin10@alexa.com,Female,5/1/2022,computer science,15,4,no
Dolley,Blackmoor,dblackmoor11@cmu.edu,Other,10/2/2021,mathematics,14,2,no
Berkley,Youell,byouell12@cornell.edu,Male,4/27/2022,mathematics,20,3,no
Tera,Wombwell,twombwell13@google.de,Female,1/12/2022,mathematics,7,6,no
Winnah,Pedwell,wpedwell14@mapy.cz,Female,3/18/2022,mathematics,15,7,no
Goddard,Fulle,gfulle15@ucla.edu,Male,12/8/2021,computer science,17,7,no
Georgy,Wayman,gwayman16@home.pl,Other,7/21/2021,mathematics,20,1,no
Archibaldo,Pichmann,apichmann17@theguardian.com,Male,7/22/2021,mathematics,19,2,no
Celestyn,Bulman,cbulman18@ycombinator.com,Female,7/15/2021,computer science,5,4,no
Marilyn,Peat,mpeat19@youku.com,Female,10/10/2021,business administration,19,1,no
Karalee,Cloake,kcloake1a@si.edu,Female,10/12/2021,business administration,4,3,no
Avril,Brookbank,abrookbank1b@businessweek.com,Female,6/8/2022,mathematics,1,5,no
Damaris,Cotman,dcotman1c@redcross.org,Female,4/19/2022,mathematics,12,5,no
Nerissa,Kick,nkick1d@businessinsider.com,Female,7/29/2021,business administration,16,4,no
Justin,Chasen,jchasen1e@myspace.com,Male,12/26/2021,mathematics,5,3,no
Shandeigh,Hugonet,shugonet1f@mapquest.com,Female,1/23/2022,computer science,9,3,no
Keefe,Daborne,kdaborne1g@ftc.gov,Male,12/9/2021,business administration,3,3,no
Evelyn,Fost,efost1h@over-blog.com,Other,4/20/2022,computer science,20,6,no
